DATE,A229RX0Q048SBEA
2013-04-01,38966.0
2013-07-01,39057.0
2013-10-01,39133.0
2014-01-01,39662.0
2014-04-01,40069.0
2014-07-01,40429.0
2014-10-01,40840.0
2015-01-01,41277.0
2015-04-01,41523.0
2015-07-01,41790.0
2015-10-01,41802.0
2016-01-01,42015.0
2016-04-01,41882.0
2016-07-01,41958.0
2016-10-01,42162.0
2017-01-01,42556.0
2017-04-01,42715.0
2017-07-01,42866.0
2017-10-01,43027.0
2018-01-01,43430.0
2018-04-01,43549.0
2018-07-01,43718.0
